,DOGEUSDT,GSTUSDT,spread,zscore
190,0.0856,2.885,-0.0009499999999999925,0.0017873267468721443
191,0.0858,2.895,-0.0010499999999999954,0.002122144265010359
192,0.0859,2.903,-0.0011899999999999966,0.002593590178609758
193,0.0867,2.916,-0.000779999999999989,0.0016565922310915106
194,0.0879,2.891,0.0011700000000000044,-0.001605081214384551
195,0.0871,2.877,0.0007900000000000129,-0.0008627569035203644
196,0.0873,2.875,0.0010500000000000093,-0.0008827021976046867
197,0.0875,2.865,0.0015499999999999958,-0.0009406449168823558
198,0.0876,2.874,0.0013799999999999923,-0.0006265539801499757
199,0.0875,2.892,0.0007400000000000045,-0.000256267559339147
