,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossing
470,HOTUSDT,RUNEUSDT,0.02,-3.76,-3.37,0.0,5
425,KDAUSDT,BAKEUSDT,0.02,-3.61,-3.37,5.74,5
500,GLMRUSDT,YFIUSDT,0.0,-4.9,-3.37,0.0,5
468,HOTUSDT,EGLDUSDT,0.02,-3.76,-3.37,0.0,5
426,KDAUSDT,TRBUSDT,0.01,-3.84,-3.37,0.12,5
536,SCRTUSDT,ETHUSDT,0.02,-3.75,-3.37,0.0,5
540,BAKEUSDT,XRPUSDT,0.01,-3.77,-3.37,0.81,5
543,LINAUSDT,VETUSDT,0.04,-3.41,-3.37,0.37,5
741,FITFIUSDT,AAVEUSDT,0.04,-3.44,-3.37,0.0,5
457,HOTUSDT,EOSUSDT,0.03,-3.54,-3.37,0.0,5
760,FITFIUSDT,SRMUSDT,0.02,-3.6,-3.37,0.1,5
409,PAXGUSDT,MINAUSDT,0.01,-3.88,-3.37,2731.04,5
687,GSTUSDT,CTKUSDT,0.02,-3.63,-3.37,0.13,5
450,GMTUSDT,MINAUSDT,0.01,-4.05,-3.37,1.38,5
363,OCEANUSDT,UNIUSDT,0.02,-3.65,-3.37,0.03,5
767,FITFIUSDT,C98USDT,0.04,-3.41,-3.37,0.16,5
435,APEUSDT,ENSUSDT,0.02,-3.61,-3.37,0.51,5
590,CVXUSDT,ANTUSDT,0.02,-3.6,-3.37,3.09,5
440,APEUSDT,JASMYUSDT,0.04,-3.41,-3.37,474.81,5
447,GMTUSDT,BNBUSDT,0.02,-3.74,-3.37,0.0,5
344,BANDUSDT,AAVEUSDT,0.03,-3.57,-3.37,0.02,5
585,BALUSDT,HNTUSDT,0.03,-3.51,-3.37,0.52,5
658,GSTUSDT,TLMUSDT,0.02,-3.63,-3.37,4.03,5
223,XEMUSDT,WAVESUSDT,0.01,-3.91,-3.37,0.01,4
220,XEMUSDT,IOTAUSDT,0.01,-3.89,-3.37,0.15,4
217,XEMUSDT,REEFUSDT,0.01,-3.92,-3.37,12.1,4
134,XEMUSDT,BNBUSDT,0.01,-3.96,-3.37,0.0,4
222,XEMUSDT,CELOUSDT,0.01,-3.91,-3.37,0.05,4
179,XEMUSDT,FLOWUSDT,0.01,-3.89,-3.37,0.03,4
140,XEMUSDT,THETAUSDT,0.01,-3.88,-3.37,0.03,4
200,XEMUSDT,SKLUSDT,0.01,-3.96,-3.37,0.88,4
197,XEMUSDT,SFPUSDT,0.01,-3.88,-3.37,0.12,4
142,XEMUSDT,AXSUSDT,0.01,-3.93,-3.37,0.0,4
145,XEMUSDT,KSMUSDT,0.01,-3.9,-3.37,0.0,4
133,XEMUSDT,ETCUSDT,0.01,-3.91,-3.37,0.0,4
187,XEMUSDT,SNXUSDT,0.01,-3.91,-3.37,0.02,4
150,XEMUSDT,GRTUSDT,0.01,-3.91,-3.37,0.43,4
171,XEMUSDT,MKRUSDT,0.01,-3.95,-3.37,0.0,4
158,XEMUSDT,NEARUSDT,0.01,-3.93,-3.37,0.01,4
119,XEMUSDT,ETHUSDT,0.01,-3.93,-3.37,0.0,4
118,XEMUSDT,BTCUSDT,0.01,-3.93,-3.37,0.0,4
121,XEMUSDT,XRPUSDT,0.01,-3.93,-3.37,0.13,4
299,WAVESUSDT,BTCUSDT,0.0,-4.3,-3.37,0.0,4
591,CVXUSDT,KNCUSDT,0.01,-4.08,-3.37,3.86,3
555,LINAUSDT,CTSIUSDT,0.02,-3.63,-3.37,0.06,3
579,BALUSDT,ALGOUSDT,0.04,-3.44,-3.37,15.48,3
905,BELUSDT,ICPUSDT,0.01,-3.87,-3.37,0.15,3
451,GMTUSDT,CVXUSDT,0.01,-3.77,-3.37,0.18,3
132,XEMUSDT,MATICUSDT,0.01,-3.93,-3.37,0.08,3
548,LINAUSDT,QTUMUSDT,0.04,-3.44,-3.37,0.0,3
730,FLMUSDT,TRBUSDT,0.02,-3.69,-3.37,0.01,3
14,ETHUSDT,BSVUSDT,0.02,-3.73,-3.37,20.88,3
594,TOMOUSDT,CRVUSDT,0.04,-3.46,-3.37,0.54,3
916,BELUSDT,CELRUSDT,0.01,-3.85,-3.37,55.01,3
630,GSTUSDT,CRVUSDT,0.03,-3.59,-3.37,0.12,3
146,XEMUSDT,AVAXUSDT,0.01,-3.95,-3.37,0.0,3
894,BELUSDT,SANDUSDT,0.03,-3.52,-3.37,0.73,3
895,BELUSDT,MANAUSDT,0.03,-3.51,-3.37,0.97,3
472,ALPHAUSDT,AAVEUSDT,0.03,-3.49,-3.37,0.0,3
541,BAKEUSDT,BCHUSDT,0.01,-4.1,-3.37,0.0,3
533,GLMRUSDT,BAKEUSDT,0.04,-3.46,-3.37,2.53,3
501,GLMRUSDT,ICPUSDT,0.0,-4.54,-3.37,0.12,3
865,ONTUSDT,BAKEUSDT,0.04,-3.43,-3.37,0.9,3
465,HOTUSDT,YFIUSDT,0.02,-3.64,-3.37,0.0,3
869,BELUSDT,ETHUSDT,0.02,-3.72,-3.37,0.0,3
880,BELUSDT,SUSHIUSDT,0.02,-3.61,-3.37,0.79,3
491,ZRXUSDT,ICPUSDT,0.02,-3.61,-3.37,0.05,3
490,ALPHAUSDT,TRBUSDT,0.01,-4.01,-3.37,0.01,3
446,APEUSDT,CVXUSDT,0.01,-3.85,-3.37,0.93,3
124,XEMUSDT,XTZUSDT,0.01,-3.88,-3.37,0.03,3
460,HOTUSDT,SUSHIUSDT,0.02,-3.72,-3.37,0.0,3
742,FITFIUSDT,MATICUSDT,0.04,-3.47,-3.37,0.16,3
754,FITFIUSDT,ENJUSDT,0.04,-3.44,-3.37,0.16,3
417,KDAUSDT,IOTXUSDT,0.04,-3.45,-3.37,56.77,3
815,CTCUSDT,AVAXUSDT,0.04,-3.44,-3.37,0.02,3
746,FITFIUSDT,SOLUSDT,0.04,-3.41,-3.37,0.0,3
311,HNTUSDT,EOSUSDT,0.0,-4.23,-3.37,9.49,3
744,FITFIUSDT,BNBUSDT,0.04,-3.42,-3.37,0.0,3
824,CTCUSDT,IOTXUSDT,0.02,-3.76,-3.37,13.89,3
237,DOGEUSDT,ETHUSDT,0.01,-3.78,-3.37,0.0,3
752,FITFIUSDT,AVAXUSDT,0.04,-3.44,-3.37,0.0,3
308,WAVESUSDT,UNIUSDT,0.02,-3.76,-3.37,0.99,3
300,WAVESUSDT,ETHUSDT,0.0,-4.25,-3.37,0.0,3
310,HNTUSDT,ETHUSDT,0.0,-4.2,-3.37,0.01,3
811,FITFIUSDT,QNTUSDT,0.04,-3.46,-3.37,0.0,3
777,FITFIUSDT,IOTXUSDT,0.04,-3.47,-3.37,3.0,3
734,FITFIUSDT,EOSUSDT,0.04,-3.42,-3.37,0.08,3
430,APEUSDT,CRVUSDT,0.01,-4.01,-3.37,5.35,3
183,XEMUSDT,IOTXUSDT,0.01,-3.93,-3.37,1.53,3
763,FITFIUSDT,FTTUSDT,0.04,-3.41,-3.37,0.0,3
316,ZILUSDT,UNIUSDT,0.01,-3.96,-3.37,0.01,3
182,XEMUSDT,ENSUSDT,0.01,-3.96,-3.37,0.0,3
251,ALGOUSDT,BTCUSDT,0.02,-3.72,-3.37,0.0,3
442,APEUSDT,PAXGUSDT,0.03,-3.49,-3.37,0.0,3
735,FITFIUSDT,XRPUSDT,0.04,-3.43,-3.37,0.25,3
252,ALGOUSDT,ETHUSDT,0.01,-3.86,-3.37,0.0,3
808,FITFIUSDT,LOOKSUSDT,0.04,-3.43,-3.37,0.25,2
127,XEMUSDT,DOTUSDT,0.01,-3.91,-3.37,0.01,2
159,XEMUSDT,SRMUSDT,0.01,-3.97,-3.37,0.05,2
226,XEMUSDT,KAVAUSDT,0.01,-3.9,-3.37,0.02,2
151,XEMUSDT,SHIB1000USDT,0.01,-3.93,-3.37,3.94,2
207,XEMUSDT,STXUSDT,0.01,-3.94,-3.37,0.11,2
203,XEMUSDT,CVCUSDT,0.01,-3.89,-3.37,0.29,2
193,XEMUSDT,SXPUSDT,0.01,-3.91,-3.37,0.11,2
143,XEMUSDT,SANDUSDT,0.01,-4.03,-3.37,0.04,2
144,XEMUSDT,MANAUSDT,0.01,-3.98,-3.37,0.05,2
176,XEMUSDT,TLMUSDT,0.01,-3.95,-3.37,1.54,2
903,BELUSDT,YFIUSDT,0.03,-3.48,-3.37,0.0,1
899,BELUSDT,CRVUSDT,0.02,-3.6,-3.37,0.95,1
900,BELUSDT,ENJUSDT,0.03,-3.49,-3.37,1.65,1
558,LINAUSDT,TRBUSDT,0.04,-3.47,-3.37,0.0,1
770,FITFIUSDT,EGLDUSDT,0.04,-3.4,-3.37,0.0,1
88,LINKUSDT,AVAXUSDT,0.03,-3.51,-3.37,0.35,1
781,FITFIUSDT,SLPUSDT,0.04,-3.42,-3.37,20.75,1
789,FITFIUSDT,ZENUSDT,0.04,-3.44,-3.37,0.01,1
788,FITFIUSDT,IMXUSDT,0.04,-3.41,-3.37,0.08,1
897,BELUSDT,AVAXUSDT,0.02,-3.74,-3.37,0.05,1
26,EOSUSDT,SXPUSDT,0.02,-3.7,-3.37,2.49,1
908,BELUSDT,DYDXUSDT,0.02,-3.71,-3.37,0.48,1
769,FITFIUSDT,MKRUSDT,0.04,-3.4,-3.37,0.0,1
595,TOMOUSDT,BSVUSDT,0.04,-3.4,-3.37,0.01,1
368,OCEANUSDT,ICPUSDT,0.02,-3.73,-3.37,0.03,1
773,FITFIUSDT,RUNEUSDT,0.04,-3.44,-3.37,0.04,1
791,FITFIUSDT,LITUSDT,0.04,-3.46,-3.37,0.09,1
378,OCEANUSDT,IOTXUSDT,0.03,-3.56,-3.37,6.35,1
157,XEMUSDT,DYDXUSDT,0.01,-3.94,-3.37,0.02,1
152,XEMUSDT,YFIUSDT,0.01,-3.89,-3.37,0.0,1
148,XEMUSDT,CRVUSDT,0.01,-3.94,-3.37,0.05,1
464,HOTUSDT,CRVUSDT,0.01,-3.79,-3.37,0.0,1
740,FITFIUSDT,SUSHIUSDT,0.04,-3.45,-3.37,0.07,1
467,HOTUSDT,DYDXUSDT,0.02,-3.68,-3.37,0.0,1
129,XEMUSDT,SUSHIUSDT,0.01,-3.95,-3.37,0.04,1
408,PAXGUSDT,KNCUSDT,0.01,-3.88,-3.37,1354.96,1
753,FITFIUSDT,CRVUSDT,0.04,-3.45,-3.37,0.09,1
804,FITFIUSDT,KNCUSDT,0.04,-3.45,-3.37,0.06,1
406,PAXGUSDT,CRVUSDT,0.03,-3.51,-3.37,1971.97,1
248,CRVUSDT,ETHUSDT,0.03,-3.59,-3.37,0.0,1
503,GLMRUSDT,DYDXUSDT,0.02,-3.7,-3.37,0.38,1
511,GLMRUSDT,ZENUSDT,0.0,-4.71,-3.37,0.04,1
757,FITFIUSDT,ICPUSDT,0.03,-3.51,-3.37,0.01,1
798,FITFIUSDT,ANTUSDT,0.04,-3.43,-3.37,0.05,1
100,LINKUSDT,XNOUSDT,0.03,-3.49,-3.37,7.4,1
758,FITFIUSDT,DYDXUSDT,0.04,-3.47,-3.37,0.05,1
253,ALGOUSDT,EOSUSDT,0.01,-3.93,-3.37,0.32,1
244,CHZUSDT,EOSUSDT,0.01,-3.85,-3.37,0.1,1
